"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 08 03:52:58 GMT 2022","Tue Feb 08 03:52:58 GMT 2022","10","","com.ulashchick.podcast.common.DependencyManagerTest","","","","testInitialization()",""
"passed","Tue Feb 08 03:54:05 GMT 2022","Tue Feb 08 03:54:05 GMT 2022","6","","com.ulashchick.podcast.auth.AuthServiceTest","","","","failWhenTokenIsMissing()",""
"passed","Tue Feb 08 03:52:57 GMT 2022","Tue Feb 08 03:53:03 GMT 2022","5864","","com.ulashchick.podcast.HttpPerformanceTest","","","","testStandardHttpClient()",""
"passed","Tue Feb 08 03:52:59 GMT 2022","Tue Feb 08 03:52:59 GMT 2022","663","","com.ulashchick.podcast.grpc.PodcastServiceTest","","","","testGetFeed()",""
"passed","Tue Feb 08 03:53:54 GMT 2022","Tue Feb 08 03:54:05 GMT 2022","11379","","com.ulashchick.podcast.grpc.PodcastServiceIntegrationAuthTest","","","","testSubscriptionsAndUnsubscribes()",""
"passed","Tue Feb 08 03:54:16 GMT 2022","Tue Feb 08 03:54:27 GMT 2022","10685","","com.ulashchick.podcast.common.persistance.CassandraClientTest","","","","testSubscription()",""
"passed","Tue Feb 08 03:52:58 GMT 2022","Tue Feb 08 03:52:59 GMT 2022","1533","","com.ulashchick.podcast.grpc.PodcastServiceTest","","","","testSearch()",""
"passed","Tue Feb 08 03:53:00 GMT 2022","Tue Feb 08 03:53:00 GMT 2022","34","","com.ulashchick.podcast.common.config.EnvironmentServiceTest","","","","getCurrentEnvironmentWhenValueSet()",""
"passed","Tue Feb 08 03:54:05 GMT 2022","Tue Feb 08 03:54:16 GMT 2022","10977","","com.ulashchick.podcast.common.persistance.CassandraClientTest","","","","checkUserUpsertionDoesNotChangeUUID()",""
"passed","Tue Feb 08 03:53:03 GMT 2022","Tue Feb 08 03:53:31 GMT 2022","27801","","com.ulashchick.podcast.grpc.EchoServiceIntegrationTest","","","","authorizationIsNotRequired()",""
"passed","Tue Feb 08 03:52:58 GMT 2022","Tue Feb 08 03:52:58 GMT 2022","320","","com.ulashchick.podcast.grpc.EchoServiceTest","","","","testEcho()",""
"passed","Tue Feb 08 03:53:31 GMT 2022","Tue Feb 08 03:53:43 GMT 2022","11582","","com.ulashchick.podcast.grpc.PodcastServiceIntegrationAuthTest","","","","testGettingListOfSubscriptionsWhenAuthorized()",""
"passed","Tue Feb 08 03:54:05 GMT 2022","Tue Feb 08 03:54:05 GMT 2022","203","","com.ulashchick.podcast.auth.AuthServiceTest","","","","successSignIn()",""
"passed","Tue Feb 08 03:54:27 GMT 2022","Tue Feb 08 03:54:38 GMT 2022","10836","","com.ulashchick.podcast.common.persistance.CassandraClientTest","","","","firstUserSignIn()",""
"passed","Tue Feb 08 03:53:00 GMT 2022","Tue Feb 08 03:53:00 GMT 2022","2","","com.ulashchick.podcast.common.config.EnvironmentServiceTest","","","","testEnvValues()",""
"passed","Tue Feb 08 03:53:00 GMT 2022","Tue Feb 08 03:53:00 GMT 2022","3","","com.ulashchick.podcast.common.config.EnvironmentServiceTest","","","","getCurrentEnvironmentWhenValueNotSet()",""
"passed","Tue Feb 08 03:53:43 GMT 2022","Tue Feb 08 03:53:54 GMT 2022","10904","","com.ulashchick.podcast.grpc.PodcastServiceIntegrationAuthTest","","","","testPodcastServiceDoesNotWorkWithoutAuth()",""
